"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value"
"FF","2017-05-17","92.1","0.7977","6.4001","Clayton Kershaw",434604,477132,"field_out","hit_into_play",,,,,"4","Michael Morse flies out to center fielder Joc Pederson.  ","R","R","L","SF","LAD","X","8","fly_ball",1,0,2017,"-0.1806","1.9380","-0.4693","2.6712","null","null","457763.00",2,7,"Bot","131.10","74.78",,,518735,,"170517_215021",,,,,,,"3.5750","1.6810","297","82.4","35.5130","92.4390","2311","6.4940",490698,477132,518735,641355,621035,457759,608369,571771,592626,624577,"54.0069","0.017","0.021","0.00",1,0,0
"FF","2017-05-17","91.4","0.9207","6.2995","Clayton Kershaw",434604,477132,"null","ball",,,,,"13","null","R","R","L","SF","LAD","B","null","null",0,0,2017,"-0.4952","1.8073","-0.0133","1.0488","null","null","457763.00",2,7,"Bot","null","null",,,518735,,"170517_214954",,,,,,,"3.5750","1.6810","null","null","null","91.2430","2230","6.3710",490698,477132,518735,641355,621035,457759,608369,571771,592626,624577,"54.1295","0.000","0.000","null","null","null","null"
"SL","2017-05-17","86.5","1.0111","6.3479","Clayton Kershaw",457763,477132,"single","hit_into_play_no_out",,,,,"14","Buster Posey singles on a line drive to center fielder Joc Pederson.  ","R","R","L","SF","LAD","X","null","line_drive",1,2,2017,"0.2242","0.6605","0.3031","1.4141","null","null","null",2,7,"Bot","97.28","76.90",,,518735,,"170517_214912",,,,,,,"3.4110","1.5650","299","86.3","22.2940","85.1890","2455","5.3830",490698,477132,518735,641355,621035,457759,608369,571771,592626,624577,"55.1177","0.260","0.273","0.90",1,1,0
"FF","2017-05-17","92.9","1.1250","6.2993","Clayton Kershaw",457763,477132,"null","ball",,,,,"14","null","R","R","L","SF","LAD","B","null","null",0,2,2017,"-0.3370","1.9430","1.5042","1.8781","null","null","null",2,7,"Bot","null","null",,,518735,,"170517_214849",,,,,,,"3.4110","1.5650","null","null","null","92.3630","2243","6.0580",490698,477132,518735,641355,621035,457759,608369,571771,592626,624577,"54.4430","0.000","0.000","null","null","null","null"
"CH","2017-05-17","85.0","1.2128","6.4617","Clayton Kershaw",457763,477132,"null","swinging_strike",,,,,"14","null","R","R","L","SF","LAD","S","null","null",0,1,2017,"-0.7665","1.6944","0.2747","1.1418","null","null","null",2,7,"Bot","null","null",,,518735,,"170517_214831",,,,,,,"3.4110","1.5650","null","null","null","84.1020","2216","5.7900",490698,477132,518735,641355,621035,457759,608369,571771,592626,624577,"54.7112","0.000","0.000","null","null","null","null"
"FF","2017-05-17","91.7","1.1490","6.3193","Clayton Kershaw",457763,477132,"null","called_strike",,,,,"6","null","R","R","L","SF","LAD","S","null","null",0,0,2017,"-0.0415","1.8366","0.4884","2.7873","null","null","null",2,7,"Bot","null","null",,,518735,,"170517_214814",,,,,,,"3.4110","1.5650","null","null","null","91.1140","2215","6.0160",490698,477132,518735,641355,621035,457759,608369,571771,592626,624577,"54.4849","0.000","0.000","null","null","null","null"
"FF","2017-05-17","92.2","1.1045","6.2675","Clayton Kershaw",624414,477132,"field_out","hit_into_play",,,,,"5","Christian Arroyo lines out sharply to second baseman Chris Taylor.  ","R","R","L","SF","LAD","X","4","line_drive",0,0,2017,"-0.2302","1.8150","0.0988","2.6808","null","null","null",1,7,"Bot","140.34","139.14",,,518735,,"170517_214742",,,,,,,"3.4110","1.5650","171","103.9","6.2590","92.2830","2261","6.3140",490698,477132,518735,641355,621035,457759,608369,571771,592626,624577,"54.1872","0.651","0.617","0.00",1,0,0
"FF","2017-05-17","92.4","1.2051","6.3872","Clayton Kershaw",448605,477132,"field_out","hit_into_play",,,,,"2","Justin Ruggiano pops out to second baseman Chris Taylor.  ","R","R","L","SF","LAD","X","4","popup",1,0,2017,"-0.0920","1.8565","-0.1699","2.8692","null","null","null",0,7,"Bot","160.84","136.53",,,518735,,"170517_214709",,,,,,,"3.4110","1.5650","185","86.8","61.8830","92.0650","2282","6.1130",490698,477132,518735,641355,621035,457759,608369,571771,592626,624577,"54.3882","0.018","0.020","0.00",1,0,0
"FF","2017-05-17","91.8","1.1300","6.4443","Clayton Kershaw",448605,477132,"null","ball",,,,,"12","null","R","R","L","SF","LAD","B","null","null",0,0,2017,"-0.1639","1.9250","0.7975","3.9901","null","null","null",0,7,"Bot","null","null",,,518735,,"170517_214645",,,,,,,"3.4110","1.5650","null","null","null","91.5370","2205","6.0950",490698,477132,518735,641355,621035,457759,608369,571771,592626,624577,"54.4063","0.000","0.000","null","null","null","null"
"SL","2017-05-17","88.8","0.7641","6.4637","Clayton Kershaw",456488,477132,"force_out","hit_into_play",,,,,"8","Eduardo Nunez grounds into a force out, second baseman Chris Taylor to shortstop Corey Seager.   Nick Hundley out at 2nd.  ","R","R","L","SF","LAD","X","4","ground_ball",0,0,2017,"0.3616","1.3693","-0.2073","1.6859","null","null","460026.00",2,6,"Bot","140.54","145.69",,,518735,,"170517_213135",,,,,,,"3.3710","1.5350","18","105.7","-4.5980","88.2350","2303","6.0630",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.4385","0.405","0.375","0.00",1,0,0
